Accession,X20141222_WOS521,X20141222_WOS526,X20141222_WOS5211,X20141222_WOS5216,X20141222_WOS522,X20141222_WOS527,X20141222_WOS5212,X20141222_WOS5217,X20141222_WOS523,X20141222_WOS528,X20141222_WOS5213,X20141222_WOS5218
Cre13.g565800.t1.2|PACid:30784628|,8598.16151457602,8251.3214672418,8297.21785913619,8258.22581350092,8035.3260272554,8129.78647582448,8300.70670536842,7017.82304955323,8863.56967809819,7862.54158854747,7249.66912651917,7878.23961962402
Cre02.g076250.t1.1|PACid:30786008|,3438.45841146566,3213.11291132157,3186.46886077869,3030.9508288514,3308.86058345663,3123.8209490701,3296.47962719792,3199.54078762577,3277.57046182189,3221.23467759746,2907.35555091403,3096.10631304515
Cre03.g149100.t1.2|PACid:30787831|,4661.72645107582,4301.35774863123,4188.08402333251,4304.27134352629,3855.38631668721,4043.42761969449,4461.65575752666,4084.52049726576,3953.58767070755,3913.20308289212,4231.59405920954,4209.56126092283
Cre13.g567950.t1.2|PACid:30784437|,3050.47994183733,2728.98863982703,2943.57304331586,2753.7883670321,2698.08917472333,2753.42080314638,2838.0206403942,2649.28857275734,2505.99656899981,2739.58554013346,2156.27134549276,2886.21203551248
Cre03.g190950.t1.2|PACid:30788226|,16713.6706557464,15999.4890682518,15925.9094147031,15675.3853260719,16100.4491454127,15141.8908967014,15495.6745294056,15235.2447697399,15332.9085766011,15205.5565952458,15407.1455160406,15123.4611849382
Cre06.g259900.t1.2|PACid:30779752|,7657.74058410767,7238.16732093895,7220.2171885202,7347.09271475519,7382.48827158445,7129.66742788597,7233.13966322169,7509.46997350165,7190.16057291284,7237.30933293264,7238.04485505717,7227.38074447439
Cre01.g039300.t1.2|PACid:30789032|,3344.27341088187,3145.03559060319,2988.39301932726,3170.27788343132,2977.17922433105,3057.22956485188,3108.15567065203,3061.26167985491,2992.91338214379,2944.1911015742,3075.05137177106,2941.12487244841
Cre12.g550850.t1.2|PACid:30791734|,68165.82645839,65277.5831726361,67028.8141982257,69251.6959765538,65331.5573007247,64249.9142049705,68959.5401824581,66898.9692390427,64768.0504990373,63254.6369538971,67513.9886238668,68776.0751040178
Cre03.g189800.t1.2|PACid:30787830|,2902.20403088833,2675.03384320046,2775.37225209024,2683.88659682753,2600.92615202954,2544.72364927604,2570.67147983098,2660.62575212401,2629.25923066892,2607.61981839449,2688.08065911819,2705.21726164795
P02768ups|ALBU_HUMAN_UPS,2291.84726622003,2264.66278218457,2278.55614736622,2106.90295612046,3736.73408316191,3452.92189717645,3188.60860810138,3298.84847784762,5803.33043863697,5540.52412423679,5977.2954790685,5701.06464027525
